Objectummer,Locatienaam,Lat,Long,Effectieve_breedte_m,Q_max_pers_per_min_LOS_A,Q_max_pers_per_min_LOS_B,Q_max_pers_per_min_LOS_C,Q_max_pers_per_min_LOS_D,Q_max_pers_per_min_LOS_E,Q_max_pers_per_min_LOS_F
CMSA-GAKH-01,Kalverstraat t.h.v. 1,52.372634,4.892071,6.7,112.6,217.1,351.8,482.4,603.0,482.4
CMSA-GAWW-11,Korte Niezel,52.374616,4.89983,3.4,57.1,110.2,178.5,244.8,306.0,244.8
CMSA-GAWW-12,Oudekennissteeg,52.37386,4.89869,2.6,43.7,84.2,136.5,187.2,234.0,187.2
CMSA-GAWW-13,Stoofsteeg,52.372439,4.897689,2.2,37.0,71.3,115.5,158.4,198.0,158.4
CMSA-GAWW-14,Oudezijds Voorburgwal t.h.v. 91,52.373538,4.898166,3.6,60.5,116.6,189.0,259.2,324.0,259.2
CMSA-GAWW-15,Oudezijds Achterburgwal t.h.v. 86,52.372916,4.898207,2.8,47.0,90.7,147.0,201.6,252.0,201.6
CMSA-GAWW-16,Oudezijds Achterburgwal t.h.v. 91,52.372628,4.898233,2.7,45.4,87.5,141.8,194.4,243.0,194.4
CMSA-GAWW-17,Oudezijds Voorburgwal t.h.v. 206,52.372782,4.896649,4.7,79.0,152.3,246.8,338.4,423.0,338.4
CMSA-GAWW-19,Molensteeg,52.373587,4.899815,2.5,42.0,81.0,131.2,180.0,225.0,180.0
CMSA-GAWW-20,OudebrugsteegÂ ,52.37535,4.89748,5.3,89.0,171.7,278.2,381.6,477.0,381.6
CMSA-GAWW-21,Damstraat,52.37193,4.8956,9.3,156.2,301.3,488.3,669.6,837.0,669.6
CMSA-GAWW-23,Bloedstraat,52.372764,4.899829,5.3,89.0,171.7,278.2,381.6,477.0,381.6
GACM-04,Damrak 1-5,52.377027,4.898059,6.2,104.2,200.9,325.5,446.4,558.0,446.4
GVCV-01,CS - ri. NDSM,52.380686,4.899041,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-03,CS - ri. Buiksloterweg (West),52.380566,4.89936,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-04,CS - ri. Buiksloterweg (Oost),52.380516,4.899524,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-05-A,CS - ri. IJplein (West),52.378526,4.905811,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-05-B,CS - ri. IJplein (Oost),52.378526,4.905811,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-06,Azartplein,52.378101,4.937281,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-07,Pontsteiger N (ri. NDSM),52.392143,4.885861,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-08,Pontsteiger Z (ri. Distelweg),52.392029,4.886005,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-09,Zeeburg,52.374414,4.949579,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-11,NDSMkade,52.40106,4.891368,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-13,Buiksloterweg,52.382352,4.903016,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GVCV-14,Buiksloterweg,52.382169,4.903385,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GASA-06,Azartplein B,52.37802,4.93715,3.1,52.1,100.4,162.8,223.2,279.0,223.2
GASA-01-A1,IJBoulevardA1,52.38045,4.90031,4.0,67.2,129.6,210.0,288.0,360.0,288.0
GASA-01-A2,IJBoulevardA2,52.38042,4.90028,4.0,67.2,129.6,210.0,288.0,360.0,288.0
GASA-01-B,IJBoulevardB,52.38034,4.89992,6.0,100.8,194.4,315.0,432.0,540.0,432.0
GASA-01-C,IJBoulevardC,52.38028,4.89985,6.0,100.8,194.4,315.0,432.0,540.0,432.0
GASA-02-01,BrugOostertoegang1,52.37864,4.90472,6.0,100.8,194.4,315.0,432.0,540.0,432.0
GASA-02-02,BrugOostertoegang2,52.37858,4.90466,6.0,100.8,194.4,315.0,432.0,540.0,432.0
GASA-03,Oosterdoksbrug,52.37762,4.91101,8.0,134.4,259.2,420.0,576.0,720.0,576.0
GASA-04,CSriOosterdokskade,52.37702,4.90352,7.0,117.6,226.8,367.5,504.0,630.0,504.0
GASA-05-O,NoorderparkOost,52.38898,4.91963,4.0,67.2,129.6,210.0,288.0,360.0,288.0
GASA-05-W,NoorderparkWest,52.38926,4.91893,4.0,67.2,129.6,210.0,288.0,360.0,288.0
